"","start","end","321","322","324","325","326","Dates"
"1",166,167,0.146,0.119,0.196,0.513,0.001,"June-15 - June-16"
"2",168,169,0.007,0.232,0.205,0.481,0.001,"June-17 - June-18"
"3",170,171,0.1,0.25,0.158,0.421,0.003,"June-19 - June-20"
"4",172,173,0.027,0.132,0.444,0.337,0.013,"June-21 - June-22"
"5",174,175,0.054,0.226,0.338,0.371,0.002,"June-23 - June-24"
"6",176,177,0.102,0.139,0.276,0.458,0.012,"June-25 - June-26"
"7",178,179,0.017,0.18,0.377,0.384,0.003,"June-27 - June-28"
"8",180,182,0.005,0.228,0.339,0.404,0.001,"June-29 - July-01"
"9",183,184,0.146,0.144,0.37,0.33,0.001,"July-02 - July-03"
"10",186,187,0.151,0.114,0.381,0.323,0.011,"July-05 - July-06"
"11",188,189,0.037,0.13,0.402,0.376,0.012,"July-07 - July-08"
"12",190,191,0.201,0.12,0.478,0.115,0.04,"July-09 - July-10"
