Jdate,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
161,17.73,13.41,266.2479801,33.46619759,10.97,38.08737782,30.19287749,27.64,7.172389451,93.78737275,73.78,22.54262673,33.57,78.15677517,28.49064557,109.7323637,117.5903315,22.12171194,9.978670624,18,3.1,33.14903,0.9375,33.43968,71.83072281,125.7545922,142.1950374,32.11111,23.44615,37.75002183,67.10979618,21.78512979,39.37482958,0.225991537,31.24135564
162,25.54,18.81,288.5437663,31.67008605,6.26,68.08206154,40.68564671,40.77,16.70912221,88.99644815,77.02993365,27.83050847,64.41,60.90536648,38.15106006,102.9378656,137.2156816,23.73,1.978300318,18.2,32.5,65.61773,24.83078,34.85159,45.20110067,145.1950367,125.6339752,58.85714,66.26088,30.80730935,68.57584935,42.23060428,84.63285,15.32295215,17.78461
163,24.14375988,13.25,306.6523648,57.42355829,15.49328742,79.07052635,51.79,22.27,13.34642437,64.5475447,228.645524,26.79762578,67.39,63.81391545,51.69970166,105.7689304,125.5808114,20.69,5.994803884,61.9,3.2,62.47256,18.27613,75.15531,34.09193004,182.3185669,106.9039033,45.85714,39.15679,19.15542448,64.91639,67.26793918,37.49378,46.53919844,22.7174
164,23.4078645,11.37,336.1682637,175.2801022,20.56,170.5336471,59.43,58.92,28.13901839,25.80171699,199.8153225,44.39770525,58.37,67.80491252,122.9999582,95.70318241,152.9067773,23.57143509,14.54215181,74.9,23.58769136,111.57365,36.60324,153.12047,55.35221629,211.9411927,119.7850011,24.52941,83.91305,40.25300854,89.10084436,165.04576,160.3864,62.80617,10.67719
165,42.23662024,38.52825643,352.5259617,139.0463016,41.94,139.4371692,131.25,56.74,43.42323294,35.45290597,128.1692698,40.35790593,199.02,111.9350006,152.9799687,160.6882499,210.5458212,44.93,31.65999853,66.71241755,49.5,116.74357,17.23919,246.5091304,71.70414505,313.7065008,103.0183455,98.04254629,48.78339298,60.01013287,32.51739,167.1686,296.55536,169.60404,40.57284
166,45.73741888,77.12608656,420.7301769,194.3141137,39.88,198.1370228,96.44,117.22,68.64939322,44.7613912,163.12,49.52590264,198.7,125.1002001,187.5794586,156.5578474,262.5319944,26.15,92.16828884,94.01712785,34.1,213.4995,31.88296535,189.579281,21.43998461,338.474169,49.81829398,191.1613595,75.61696422,56.54552308,118.3945658,178.482375,204.11739,129.24819,44.58615
167,39.76,112.5884686,484.8106503,224.8014779,24.01,166.4572352,225.85,78.15449047,87.47416289,39.09655223,124.82,117.1774649,179.42,269.2074441,260.5340221,206.800092,329.3570235,71.58,60.57,226.9219526,51.73681352,191.0287635,55.97858366,151.7175,80.33839248,408.5860873,153.4536997,94.71750634,84.03726657,89.89479054,89.01324385,228.7782031,457.0460284,246.3696976,76.39829
168,92.63,145.6768282,460.5378751,282.4167519,71.123072,304.2847947,126.97,61.36259321,62.30976017,69.79506633,116.97,162.239965,144.41,104.7856998,312.9170182,185.0489552,405.2401318,54.23332917,162.6786631,318.9592344,29.1,228.7307819,66.97952763,211.0272,84.23587898,558.8867779,145.5792515,147.7610212,152.79278,143.1589695,101.486298,362.91765,884.0342785,137.80119,196.10137
169,76.15007457,224.011348,610.847873,372.4181598,110.8371724,237.6889837,180.71,178.3944857,75.3755909,156.3749832,171.2362863,90.58622831,125.05,91.07174269,268.5586388,175.6267039,468.7510789,128.2210318,294.9183963,217.3153448,153.1,179.75483,32.05060246,147.14516,104.6656303,635.1937088,131.4387454,144.3801311,87.28693,232.2056827,113.680372,287.43462,263.07373,295.8304,251.96685
170,80.38669528,191.6796001,703.1875905,504.9010364,104.9911053,146.78,117.5,154.0611394,90.81464328,156.11,218.3330725,177.3150682,153.42,51.76,295.4120179,165.6346371,625.6290639,62.04,222.5719077,281,87.4,203.16982,113.4403684,187.82235,127.6740767,665.5325477,132.603946,135.1817505,174.49555,170.1139989,78.57110952,730.26072,527.95687,1069.88222,234.12978
171,93.49902626,269.103521,637.5956,658.2980079,203.4605011,249.8493392,249.86,129.440943,91.99834025,148.1518911,249.4192964,120.115355,247.2464979,142.18,272.8418082,145.4831359,566.4215526,69.99,363.5259589,270,220,297.8211535,88.02016512,233.82481,105.3613432,680.2529707,139.7904082,102.6202831,141.54336,186.11337,191.83385,706.34644,233.80448,228.65144,474.05967
172,115.47,409.5227795,747.1584494,880.9604914,254.9610325,221.7541539,224.1,221.6481181,94.98437034,120.7744599,257.68,131.1709237,210.0654957,164.69,379.5719216,176.7156604,667.6458926,172.46,299.9009536,344.0929008,242.6,271.09828,172.1802891,289.3971942,229.9481567,629.9892847,124.3607651,107.5874966,288.04612,217.48776,186.6591901,234.74623,645.98981,405.58975,445.67863
173,137.88,210.6454664,694.0804661,875.1937619,381.8717985,287.2416693,181.16,211.3521195,95.44,225.3590327,253.556197,189.7403909,277.0393201,136.45,326.1347433,245.5475962,660.5921484,144.74,455.4898144,303,372.7,464.85161,133.4709576,232.895313,136.5409058,770.1154221,283.7058379,195.6915024,545.40947,314.69296,218.3507603,746.22079,268.05619,162.85321,318.8669056
174,294.73,378.6627411,707.5317809,983.3137632,338.0106505,191.0502529,200.69,201.6381044,137.52,335.4381926,311.16,96.18643453,344.00322,118.1578935,175.8312501,260.9217278,853.2374885,157.8268059,333.1276344,270,259.5986936,298.67126,471.156867,210.55707,269.8587964,687.2140616,269.5087089,171.6885328,365.6955813,344.34615,231.94103,643.1500128,316.78843,610.95446,314.1027
175,320.02,164.5201809,679.3288749,1398.268937,337.0386332,293.9018011,241.6688373,172.7461845,100.89,385.3500357,254.1352558,118.9427323,361.2556679,86.81358654,366.1082361,294.0178684,884.8664215,172.7952374,509.2330086,197.4338212,223.3,369.18825,376.3231496,192.14286,249.7414605,845.2954147,351.970347,283.5731444,346.8530235,127.15785,311.34747,684.8856537,551.48559,712.55555,441.02407
176,236.87,160.1004188,632.2957986,1602.097179,386.8135414,341.7681133,249.74,189.3435392,107.45,280.7813246,286.069177,151.5275504,320.8671826,204.09,551.4928698,318.7113646,956.410302,73.36,533.5828336,254.2438215,129.2547175,313.120989,285.0342161,230.38075,112.6586908,886.2291235,370.5880049,208.3391164,426.0174645,323.73698,284.89437,661.29331,567.8958167,541.16613,724.78702
177,293.09,324.5458233,506.3243485,1755.271157,423.5412495,375.8346726,322.66,315.2757957,117.48,183.3398102,258.9144515,122.6,309.3115159,131.43,538.2223144,389.5540417,928.8126356,363.21,499.0781844,724,157.8,400.6185877,141.2518945,137.7310058,164.8343195,1024.213639,461.6613193,232.9976586,363.8200352,401.97289,323.7023934,818.70168,108.4180377,558.41512,634.9099856
178,597.64,180.9382439,599.2479177,1821.883348,474.0304665,397.5724181,240.09,307.7326002,170.2,463.5102804,336.8341447,166.3,283.3419336,432.86,744.974966,472.5927889,792.7732202,276.2459083,775.2810883,550,178.2924164,224.8089193,112.30859,130.66682,207.6141221,891.7546084,380.1193585,438.7049883,452.9516385,292.81387,363.9267494,1010.895,101.70775,566.98496,456.96708
179,453.89,228.7242833,612.9989142,1723.557131,483.7261365,482.9833632,270.11,262.0208843,292.2103318,256.712734,397.6082362,143,315.6276749,375.5796046,536.6277397,354.5895345,933.1137949,284.2115165,583.5661433,640,144.3,258.0348645,134.45347,221.24666,232.9835241,844.5058795,284.5477566,185.732891,467.9546759,284.23281,415.4943482,568.28734,264.6704,911.9964,358.46816
