,YEAR,bay,bay_lag1,Uga,Uga_lag1,Ege,Ege_lag1,Kvi,Kvi_lag1,Nush,Nush_lag1,Tog,Tog_lag1
1,1963,188.4473516,,196.5634518,,190.5531915,,186.7047414,,187.8434292,,194.6,
2,1964,190.6110193,188.4473516,195.4193548,196.5634518,191.1115702,190.5531915,189.599681,186.7047414,191.3277932,187.8434292,198.28125,194.6
3,1965,190.7141982,190.6110193,197.1746575,195.4193548,187.5672043,191.1115702,191.0682503,189.599681,189.2321843,191.3277932,194.1818182,198.28125
4,1966,188.3315984,190.7141982,194.7884615,197.1746575,186.4511111,187.5672043,188.3213174,191.0682503,188.6372522,189.2321843,196.8823529,194.1818182
5,1967,184.3426327,188.3315984,189.1086957,194.7884615,179.8723197,186.4511111,184.3451327,188.3213174,185.0105069,188.6372522,193.2911765,196.8823529
6,1968,186.7368515,184.3426327,189.6851852,189.1086957,182.9712389,179.8723197,187.7293578,184.3451327,184.7982576,185.0105069,190.2603201,193.2911765
7,1969,188.6832997,186.7368515,193.7321429,189.6851852,188.7205882,182.9712389,188.6412249,187.7293578,187.6972285,184.7982576,196.5416667,190.2603201
8,1970,187.0779795,188.6832997,196.705,193.7321429,186.1756757,188.7205882,186.724839,188.6412249,188.3518456,187.6972285,197.0277778,196.5416667
9,1971,192.9093116,187.0779795,194.7643979,196.705,189.9948805,186.1756757,192.7607438,186.724839,193.4588709,188.3518456,204.2592593,197.0277778
10,1972,189.4821352,192.9093116,196.71875,194.7643979,185.990085,189.9948805,189.5594059,192.7607438,189.7899995,193.4588709,205.0801749,204.2592593
11,1973,189.4424232,189.4821352,197.2222222,196.71875,186.8632075,185.990085,189.1666667,189.5594059,188.4759804,189.7899995,199.8978032,205.0801749
12,1974,187.036511,189.4424232,195.5151515,197.2222222,188.5595238,186.8632075,187.1692456,189.1666667,185.8224879,188.4759804,193.1248485,199.8978032
13,1975,191.074375,187.036511,201.9787234,195.5151515,190.6341912,188.5595238,190.9491935,187.1692456,190.9041406,185.8224879,199.0947552,193.1248485
14,1976,190.4786173,191.074375,195.5524194,201.9787234,188.3994845,190.6341912,190.3647541,190.9491935,189.6861748,190.9041406,197.7318841,199.0947552
15,1977,185.5617496,190.4786173,195.25,195.5524194,185.7987421,188.3994845,185.161934,190.3647541,185.1229059,189.6861748,194.3478261,197.7318841
16,1978,188.2649404,185.5617496,196.5454545,195.25,189.2988981,185.7987421,188.9215487,185.161934,185.7850585,185.1229059,193.7435897,194.3478261
17,1979,184.3536828,188.2649404,194.2925926,196.5454545,183.4465021,189.2988981,184.0664981,188.9215487,183.5459479,185.7850585,194.21875,193.7435897
18,1980,189.430574,184.3536828,199.7036199,194.2925926,190.7877358,183.4465021,188.5461996,184.0664981,189.6162196,183.5459479,197.1416667,194.21875
19,1981,186.8750454,189.430574,191.469086,199.7036199,185.5973783,190.7877358,186.1432122,188.5461996,187.0826965,189.6162196,197.5609756,197.1416667
