YEAR,Abundance
1964,224.24
1965,146.2
1966,205.1
1967,161.12
1968,175.24
1969,172.05
1970,220.78
1971,132.2
1972,202.79
1973,126.23
1974,158.63
1975,133.94
1976,228.27
1977,199.01
1978,279.12
1979,234.1
1980,319.9
1981,244.49
1982,297.88
1983,223.2
1984,431.01
1985,308.77
1986,326.29
1987,261.76
1988,270.33
1989,212.16
1990,364.39
1991,303.04
1992,486.02
1993,277.23
1994,398.59
1995,453.75
1996,434.87
1997,424.25
1998,401.97
1999,443.57
2000,501.07
2001,381.82
2002,401.82
2003,382.89
2004,466.33
2005,361.27
2006,594.47
2007,344.03
2008,548.77
2009,328.17
2010,657.16
2011,407.21
2012,653.76
2013,435.57
2014,577.82
2015,355.85
2016,549.42
2017,432
2018,513
2019,701
2020,639
2021,314
2022,798
2023,299
2024,864
