YEAR,Abundance
1963,224.24
1964,146.2
1965,205.1
1966,161.12
1967,175.24
1968,172.05
1969,220.78
1970,132.2
1971,202.79
1972,126.23
1973,158.63
1974,133.94
1975,228.27
1976,199.01
1977,279.12
1978,234.1
1979,319.9
1980,244.49
1981,297.88
1982,223.2
1983,431.01
1984,308.77
1985,326.29
1986,261.76
1987,270.33
1988,212.16
1989,364.39
1990,303.04
1991,486.02
1992,277.23
1993,398.59
1994,453.75
1995,434.87
1996,424.25
1997,401.97
1998,443.57
1999,501.07
2000,381.82
2001,401.82
2002,382.89
2003,466.33
2004,361.27
2005,594.47
2006,344.03
2007,548.77
2008,328.17
2009,657.16
2010,407.21
2011,653.76
2012,435.57
2013,577.82
2014,355.85
2015,549.42
2016,432
2017,513
2018,701
2019,639
2020,314
2021,798
2022,299
2023,864
2024,255
