"time","hemisphere","extent","area"
1979-01-01,"north",15410000000000,12410000000000
1980-01-01,"north",14860000000000,11940000000000
1981-01-01,"north",14910000000000,11910000000000
1982-01-01,"north",15180000000000,12190000000000
1983-01-01,"north",14940000000000,12010000000000
1984-01-01,"north",14470000000000,11680000000000
1985-01-01,"north",14720000000000,11690000000000
1986-01-01,"north",14890000000000,11880000000000
1987-01-01,"north",14970000000000,11900000000000
1988-01-01,"north",-9999000000000000,-9999000000000000
1989-01-01,"north",14950000000000,13180000000000
1990-01-01,"north",14780000000000,12800000000000
1991-01-01,"north",14360000000000,12570000000000
1992-01-01,"north",14640000000000,12610000000000
1993-01-01,"north",14900000000000,12930000000000
1994-01-01,"north",14730000000000,12880000000000
1995-01-01,"north",14590000000000,12790000000000
1996-01-01,"north",14180000000000,12150000000000
1997-01-01,"north",14420000000000,12390000000000
1998-01-01,"north",14720000000000,12810000000000
1999-01-01,"north",14360000000000,12600000000000
2000-01-01,"north",14220000000000,12300000000000
2001-01-01,"north",14200000000000,12350000000000
2002-01-01,"north",14270000000000,12260000000000
2003-01-01,"north",14390000000000,12290000000000
2004-01-01,"north",14030000000000,12260000000000
2005-01-01,"north",13660000000000,11920000000000
2006-01-01,"north",13470000000000,11650000000000
2007-01-01,"north",13700000000000,11860000000000
2008-01-01,"north",13890000000000,12300000000000
2009-01-01,"north",13910000000000,12320000000000
2010-01-01,"north",13740000000000,12040000000000
2011-01-01,"north",13460000000000,11830000000000
2012-01-01,"north",13730000000000,12210000000000
2013-01-01,"north",13700000000000,12020000000000
2014-01-01,"north",13650000000000,12100000000000
2015-01-01,"north",13600000000000,12170000000000
2016-01-01,"north",13460000000000,11800000000000
2017-01-01,"north",13190000000000,11370000000000
2018-01-01,"north",13080000000000,11700000000000
2019-01-01,"north",13570000000000,12140000000000
2020-01-01,"north",13640000000000,12150000000000
2021-01-01,"north",13500000000000,11750000000000
2022-01-01,"north",13870000000000,12260000000000
2023-01-01,"north",13360000000000,11880000000000
2024-01-01,"north",13920000000000,12240000000000
2025-01-01,"north",13110000000000,11490000000000
2026-01-01,"north",13110000000000,11390000000000
1979-02-01,"north",16180000000000,13180000000000
1980-02-01,"north",15960000000000,12900000000000
1981-02-01,"north",15600000000000,12530000000000
1982-02-01,"north",15970000000000,12870000000000
1983-02-01,"north",16010000000000,12940000000000
1984-02-01,"north",15300000000000,12260000000000
1985-02-01,"north",15470000000000,12480000000000
1986-02-01,"north",15780000000000,12620000000000
1987-02-01,"north",16050000000000,13020000000000
1988-02-01,"north",15580000000000,13570000000000
1989-02-01,"north",15500000000000,13360000000000
1990-02-01,"north",15580000000000,13420000000000
1991-02-01,"north",15250000000000,13220000000000
1992-02-01,"north",15460000000000,13580000000000
1993-02-01,"north",15690000000000,13610000000000
1994-02-01,"north",15560000000000,13520000000000
1995-02-01,"north",15230000000000,13370000000000
1996-02-01,"north",15150000000000,12980000000000
1997-02-01,"north",15440000000000,13440000000000
1998-02-01,"north",15750000000000,13770000000000
1999-02-01,"north",15310000000000,13450000000000
2000-02-01,"north",15140000000000,13090000000000
2001-02-01,"north",15210000000000,13220000000000
2002-02-01,"north",15340000000000,13420000000000
2003-02-01,"north",15190000000000,13230000000000
2004-02-01,"north",14910000000000,12940000000000
2005-02-01,"north",14370000000000,12350000000000
2006-02-01,"north",14320000000000,12350000000000
2007-02-01,"north",14510000000000,12580000000000
2008-02-01,"north",14950000000000,13210000000000
2009-02-01,"north",14810000000000,13210000000000
2010-02-01,"north",14580000000000,12960000000000
2011-02-01,"north",14360000000000,12760000000000
2012-02-01,"north",14550000000000,12720000000000
2013-02-01,"north",14720000000000,13200000000000
2014-02-01,"north",14420000000000,12560000000000
2015-02-01,"north",14400000000000,12850000000000
2016-02-01,"north",14200000000000,12430000000000
2017-02-01,"north",14120000000000,12320000000000
2018-02-01,"north",13970000000000,12310000000000
2019-02-01,"north",14390000000000,12760000000000
2020-02-01,"north",14640000000000,12950000000000
2021-02-01,"north",14390000000000,12760000000000
2022-02-01,"north",14610000000000,12900000000000
2023-02-01,"north",14190000000000,12610000000000
2024-02-01,"north",14610000000000,12760000000000
2025-02-01,"north",13750000000000,11760000000000
2026-02-01,"north",14100000000000,12410000000000
1979-03-01,"north",16340000000000,13210000000000
1980-03-01,"north",16040000000000,12990000000000
1981-03-01,"north",15630000000000,12710000000000
1982-03-01,"north",16040000000000,13070000000000
1983-03-01,"north",16090000000000,12930000000000
1984-03-01,"north",15580000000000,12550000000000
1985-03-01,"north",15890000000000,12750000000000
1986-03-01,"north",15910000000000,12720000000000
1987-03-01,"north",15820000000000,12830000000000
1988-03-01,"north",15960000000000,13900000000000
